City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
142,Longyearbyen,SJ,2022-04-11 14:47:54,78.2186,15.6401,8.44,66,20,16.11
143,Avera,US,2022-04-11 14:50:12,33.194,-82.5271,69.39,54,7,7.49
144,Sarakhs,IR,2022-04-11 14:50:13,36.5449,61.1577,71.51,40,4,8.12
145,Caravelas,BR,2022-04-11 14:50:13,-17.7125,-39.2481,80.33,81,53,2.8
146,Kichmengskiy Gorodok,RU,2022-04-11 14:50:14,59.9816,45.7854,42.19,99,100,6.04
147,Kodiak,US,2022-04-11 14:50:14,57.79,-152.4072,27.91,64,0,4.61
148,Viradouro,BR,2022-04-11 14:50:15,-20.8731,-48.2969,87.94,43,36,4.0
149,Arman,RU,2022-04-11 14:50:15,59.7,150.1667,-2.99,83,7,9.15
150,Gualaceo,EC,2022-04-11 14:50:15,-2.9,-78.7833,58.66,71,53,4.76
151,Maltahohe,NA,2022-04-11 14:50:16,-24.8333,16.9833,84.58,12,0,7.25
152,Hofn,IS,2022-04-11 14:50:16,64.2539,-15.2082,37.42,65,100,12.66
153,Upernavik,GL,2022-04-11 14:50:17,72.7868,-56.1549,14.23,91,100,6.67
154,Fujin,CN,2022-04-11 14:50:17,47.26,132.0322,37.58,72,100,8.9
155,Raga,SS,2022-04-11 14:50:18,8.4596,25.678,92.93,32,93,8.12
156,Mar Del Plata,AR,2022-04-11 14:49:43,-38.0023,-57.5575,69.1,99,100,9.22
157,Batticaloa,LK,2022-04-11 14:50:18,7.7102,81.6924,80.89,78,98,4.59
158,Saskylakh,RU,2022-04-11 14:50:19,71.9167,114.0833,-10.32,100,96,2.91
159,Camana,PE,2022-04-11 14:50:19,-16.6228,-72.7111,70.41,70,48,9.71
160,Mackay,AU,2022-04-11 14:50:19,-21.15,149.2,73.38,94,75,6.91
161,Poum,NC,2022-04-11 14:50:20,-20.2333,164.0167,78.82,75,9,9.28
162,Lebu,CL,2022-04-11 14:49:17,-37.6167,-73.65,54.55,61,45,3.76
163,Naze,JP,2022-04-11 14:50:20,28.3667,129.4833,67.12,92,100,8.19
164,Yar-Sale,RU,2022-04-11 14:50:21,66.8333,70.8333,34.47,99,100,11.72
165,Kloulklubed,PW,2022-04-11 14:50:22,7.0419,134.2556,82.81,85,100,24.81
166,Kelvington,CA,2022-04-11 14:50:23,52.1667,-103.5343,17.87,88,100,13.8
167,Waingapu,ID,2022-04-11 14:50:23,-9.6567,120.2641,77.47,78,79,4.54
168,Salalah,OM,2022-04-11 14:50:24,17.0151,54.0924,82.67,63,0,4.92
169,Sigli,ID,2022-04-11 14:49:20,5.3848,95.9609,80.47,81,100,3.87
170,Georgetown,MY,2022-04-11 14:50:24,5.4112,100.3354,82.33,83,20,2.3
171,Kidal,ML,2022-04-11 14:50:25,18.4411,1.4078,105.69,5,1,12.8
172,Bull Savanna,JM,2022-04-11 14:50:25,17.8868,-77.5902,81.64,60,17,8.32
173,Figeac,FR,2022-04-11 14:50:25,44.75,1.9167,57.58,55,98,15.59
174,Namibe,AO,2022-04-11 14:48:02,-15.1961,12.1522,79.43,69,40,9.22
175,Vaini,TO,2022-04-11 14:50:26,-21.2,-175.2,77.16,94,75,8.05
176,Aksay,RU,2022-04-11 14:50:27,47.26,39.87,72.25,34,62,13.0
177,Dovers,VC,2022-04-11 14:50:27,12.8833,-61.1833,83.79,78,76,16.62
178,Zavitinsk,RU,2022-04-11 14:50:27,50.1167,129.45,27.61,88,39,6.49
179,Marzuq,YE,2022-04-11 14:50:28,14.4,46.4667,81.21,20,0,18.86
180,Eselnita,RO,2022-04-11 14:50:28,44.6992,22.3622,50.7,49,67,13.69
181,Valparaiso,CL,2022-04-11 14:50:29,-33.0393,-71.6273,66.43,64,0,4.61
182,Salinopolis,BR,2022-04-11 14:50:29,-0.6136,-47.3561,79.54,86,100,4.61
183,Khatanga,RU,2022-04-11 14:51:30,71.9667,102.5,-11.25,100,89,1.86
184,Pacific Grove,US,2022-04-11 14:48:26,36.6177,-121.9166,51.48,83,73,5.01
185,Tasiilaq,GL,2022-04-11 14:51:30,65.6145,-37.6368,20.61,67,53,3.8
186,Coari,BR,2022-04-11 14:51:31,-4.085,-63.1414,84.2,67,98,2.68
187,Yarmouth,US,2022-04-11 14:51:31,41.7057,-70.2286,53.65,60,0,11.99
188,Sosnogorsk,RU,2022-04-11 14:51:31,63.6023,53.8817,36.84,100,100,7.52
189,Boguchany,RU,2022-04-11 14:51:33,58.3814,97.4531,28.4,93,100,3.09
190,Hokitika,NZ,2022-04-11 14:51:33,-42.7167,170.9667,55.4,86,100,7.02
191,Ouallam,NE,2022-04-11 14:51:34,14.3188,2.0866,108.39,12,13,3.74
192,Leningradskiy,RU,2022-04-11 14:51:34,69.3833,178.4167,-14.4,99,100,3.62
193,Tsabong,BW,2022-04-11 14:51:34,-26.0217,22.401,77.74,39,60,3.42
194,Deputatskiy,RU,2022-04-11 14:51:35,69.3,139.9,-10.39,87,81,4.47
195,Provideniya,RU,2022-04-11 14:50:31,64.3833,-173.3,20.19,91,95,8.93
196,Schrobenhausen,DE,2022-04-11 14:51:35,48.55,11.2667,58.71,40,75,9.22
197,Xai-Xai,MZ,2022-04-11 14:51:36,-25.0519,33.6442,73.74,87,64,9.24
198,Airai,TL,2022-04-11 14:51:36,-8.9266,125.4092,59.95,64,100,1.86
199,Thompson,CA,2022-04-11 14:48:17,55.7435,-97.8558,26.76,80,75,8.05
200,Ribeira Grande,PT,2022-04-11 14:51:36,38.5167,-28.7,61.2,82,75,18.41
201,San Policarpo,PH,2022-04-11 14:51:37,12.1791,125.5072,77.34,93,97,7.16
202,Imperia,IT,2022-04-11 14:51:37,43.9667,7.7833,59.09,73,31,7.31
203,Emerald,AU,2022-04-11 14:51:37,-23.5333,148.1667,75.34,46,4,8.05
204,Luderitz,NA,2022-04-11 14:47:55,-26.6481,15.1594,73.56,53,5,4.34
205,Puerto Escondido,MX,2022-04-11 14:51:36,15.85,-97.0667,85.8,55,11,5.99
206,Qaanaaq,GL,2022-04-11 14:51:38,77.484,-69.3632,-2.22,73,54,4.45
207,Victoria,HK,2022-04-11 14:49:55,22.2855,114.1577,77.38,79,0,5.99
208,Tefe,BR,2022-04-11 14:51:39,-3.3542,-64.7114,86.11,70,20,6.91
209,Liverpool,GB,2022-04-11 14:51:39,53.4106,-2.9779,61.61,47,40,16.11
210,Santa Maria,BR,2022-04-11 14:51:39,-29.6842,-53.8069,72.7,68,75,6.91
211,Mitsamiouli,KM,2022-04-11 14:51:40,-11.3847,43.2844,89.89,62,20,6.91
212,Atar,MR,2022-04-11 14:51:40,20.5169,-13.0499,100.08,5,36,10.78
213,Konevo,RU,2022-04-11 14:51:40,62.1215,39.3192,39.09,97,100,4.94
214,Kayerkan,RU,2022-04-11 14:51:41,69.3497,87.7602,-7.29,96,6,5.95
215,Lorengau,PG,2022-04-11 14:51:41,-2.0226,147.2712,82.31,77,9,11.32
216,Fortuna,US,2022-04-11 14:51:41,40.5982,-124.1573,45.66,90,75,17.27
217,Mahebourg,MU,2022-04-11 14:47:55,-20.4081,57.7,77.29,88,75,11.5
218,Huarmey,PE,2022-04-11 14:51:42,-10.0681,-78.1522,71.62,80,78,9.71
219,Olafsvik,IS,2022-04-11 14:50:40,64.8945,-23.7142,35.04,75,13,22.24
220,Faya,SA,2022-04-11 14:51:42,18.3851,42.4509,77.11,42,3,11.95
221,Olavarria,AR,2022-04-11 14:47:46,-36.8927,-60.3225,59.02,98,100,11.9
222,Moreira Sales,BR,2022-04-11 14:51:19,-24.0622,-53.0069,79.86,74,100,14.74
223,Mikuni,JP,2022-04-11 14:51:43,36.2171,136.1519,57.11,69,62,7.76
224,Ugoofaaru,MV,2022-04-11 14:51:43,5.6667,73.0,84.87,72,24,11.1
225,San Cristobal,VE,2022-04-11 14:51:44,7.7669,-72.225,69.98,48,41,6.89
226,Kaeo,NZ,2022-04-11 14:46:45,-35.1,173.7833,67.32,86,100,11.27
227,Grants Pass,US,2022-04-11 14:51:44,42.439,-123.3284,39.36,86,75,8.05
228,Martapura,ID,2022-04-11 14:52:44,-3.4167,114.85,78.89,89,11,2.3
229,Laguna,US,2022-04-11 14:52:45,38.421,-121.4238,52.09,80,100,13.8
230,Colares,PT,2022-04-11 14:52:45,38.7992,-9.4469,64.29,64,75,25.01
231,Hobart,AU,2022-04-11 14:52:41,-42.8794,147.3294,52.23,78,75,11.5
232,Yantikovo,RU,2022-04-11 14:52:46,55.8216,47.9104,48.92,99,100,6.76
233,Nagato,JP,2022-04-11 14:52:46,34.3833,131.2,60.21,89,46,14.54
234,Taltal,CL,2022-04-11 14:52:46,-25.4,-70.4833,66.0,62,0,5.99
235,Saint-Denis,FR,2022-04-11 14:52:47,48.9167,2.3333,68.5,40,0,12.66
236,Cabo San Lucas,MX,2022-04-11 14:48:40,22.8909,-109.9124,70.61,71,97,5.99
237,Husavik,IS,2022-04-11 14:52:47,66.0449,-17.3389,32.47,88,72,3.98
