City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
647,Noumea,NC,77.0,clear sky,-22.2763,166.4572,Hôtel Le Lagon
649,Lima,PE,71.38,clear sky,-12.0432,-77.0282,Hotel Kamana
651,Rajpipla,IN,84.34,clear sky,21.8667,73.5,Lal Tower Govt. Guest House
657,Bandarbeyla,SO,81.73,clear sky,9.4942,50.8122,JABIR HOTEL
658,Sampit,ID,73.15,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
667,Gunjur,GM,71.67,clear sky,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
668,Mareeba,AU,72.32,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
669,Bonthe,SL,80.1,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
670,Isangel,VU,77.56,few clouds,-19.55,169.2667,Tanna Lodge
672,Porbandar,IN,81.07,clear sky,21.6422,69.6093,Lords Inn Porbandar
674,Rafaela,AR,70.99,light rain,-31.2503,-61.4867,Parra Hotel & Suites
680,Camocim,BR,81.75,broken clouds,-2.9022,-40.8411,Ilha Praia Hotel
684,Pokhara,NP,72.09,overcast clouds,28.2333,83.9833,OYO 170 Hotel View Point
686,Majene,ID,77.94,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
687,Independencia,BR,89.49,overcast clouds,-5.3964,-40.3086,Pousada Santa Cruz
690,Mbandaka,CD,77.58,few clouds,0.0487,18.2603,Guest House Epervier
696,Abong Mbang,CM,75.4,light rain,3.9833,13.1833,Auberge Angle Sur
702,Narino,CO,76.82,overcast clouds,5.6089,-75.1766,Estacion de Policia Nariño
703,Gurinhem,BR,85.78,overcast clouds,-7.1239,-35.4244,Afpesp
707,Nabire,ID,75.96,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
708,Kontagora,NG,88.65,broken clouds,10.3999,5.4695,Queens Guest Inn
709,Dingle,PH,71.89,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
